,current_delta,soc_coulomb,soc_kalman
358,0.83956,[-963.52318975],[-592.660758]
359,0.83676,[-965.57907246],[-580.53964125]
360,-0.63943,[-967.62809863],[-582.58866743]
361,-0.34073,[-966.06228668],[-581.02285548]
362,0.35759,[-965.22791997],[-580.18848877]
363,0.13671,[-966.10357281],[-581.06414161]
364,1.6315,[-966.43834308],[-581.39891188]
365,1.8602,[-970.43349845],[-585.39406724]
366,0.14178,[-974.98868571],[-589.94925451]
367,1.6434,[-975.3358712],[-590.29644]
368,2.5283,[-979.36016684],[-594.32073564]
369,2.1238,[-985.55137206],[-586.55845339]
370,1.9253,[-990.75205301],[-591.75913434]
371,1.4972,[-995.46665469],[-596.47373601]
372,1.9517,[-999.1329413],[-600.14002263]
373,1.9695,[-1003.9121903],[-604.91927163]
374,0.41043,[-1008.73502726],[-609.74210859]
375,2.8783,[-1009.74007269],[-610.74715402]
376,1.1003,[-1016.78834464],[-617.79542597]
377,1.1003,[-1019.48271759],[-620.48979891]
378,2.4667,[-1022.17709053],[-623.18417185]
379,2.0372,[-1028.217452],[-614.88769248]
380,1.5935,[-1033.20607016],[-619.87631064]
381,1.8329,[-1037.10817257],[-623.77841305]
382,-0.15832,[-1041.59650862],[-628.2667491]
383,1.8201,[-1041.20882061],[-627.87906109]
384,0.44887,[-1045.66581251],[-632.33605299]
385,-0.16389,[-1046.76498835],[-633.43522883]
386,1.5661,[-1046.36366073],[-633.03390121]
387,1.5739,[-1050.19866706],[-636.86890754]
388,-0.0085663,[-1054.05277373],[-640.72301421]
389,0.42601,[-1054.0317969],[-626.43758481]
390,2.4615,[-1055.07499404],[-627.48078195]
391,0.66037,[-1061.10262196],[-633.50840986]
392,0.65518,[-1062.71971099],[-635.12549889]
393,2.0145,[-1064.32409094],[-636.72987885]
394,1.8031,[-1069.25712219],[-641.6629101]
395,1.1263,[-1073.67248514],[-646.07827305]
396,1.1263,[-1076.43052589],[-648.8363138]
397,2.9716,[-1079.18856665],[-651.59435456]
398,0.68939,[-1086.46530811],[-658.87109602]
399,1.3775,[-1088.15346022],[-646.15670276]
400,0.68671,[-1091.52663001],[-649.52987255]
401,1.6054,[-1093.20821943],[-651.21146198]
402,1.8458,[-1097.13946211],[-655.14270465]
403,1.3922,[-1101.6593872],[-659.66262974]
404,0.0053429,[-1105.0685538],[-663.07179634]
405,2.074,[-1105.08163729],[-663.08487983]
406,2.3266,[-1110.16036989],[-668.16361243]
407,1.6454,[-1115.85765979],[-673.86090234]
408,2.8354,[-1119.88685296],[-677.8900955]
409,0.49679,[-1126.83007302],[-670.19290219]
410,1.1966,[-1128.04659354],[-671.40942272]
411,0.72483,[-1130.97678228],[-674.33961145]
412,0.95438,[-1132.75171851],[-676.11454768]
